customer_id,age,income,signup_channel,country,account_duration,last_login_days,num_transactions,support_tickets,premium_user,satisfaction_score,target
CUST100000,56,41315.55,web,Germany,4,55,11,2,N,3,1
CUST100001,69,50955.33, Referral,Germany,30,228,9,1, NO ,,0
CUST100002,46,57079.42,web,UK,30,144,9,0,no,3,0
CUST100003,32,52088.23,APP ,Canada,13,91,5,3, NO ,2,0
CUST100004,60,340461.5,Web,India,42,81,3,2,Yes,2,0
CUST100005,25,55759.57,app,US,49,224,10,3,yes,2,0
CUST100006,78,45740.87,app,Germany,14,78,15,2,Yes,1,1
CUST100007,38,56017.88,web,Canada,56,149,6,3,N,4,0
CUST100008,56,57494.56,APP ,US,47,360,15,1,Yes,,0
CUST100009,75,30554.36,referral,UK,8,282,8,2,N,2,1
CUST100010,36,67241.3,referral,Germany,55,310,11,0,No,5,0
CUST100011,40,45486.44,app,India,24,159,9,1,N,4,1
CUST100012,28,45870.15,Web,UK,18,315,15,5,Y,3,0
CUST100013,28,61270.64,app,Germany,35,364,11,2,Yes,4,1
CUST100014,41,61207.48,web,Canada,25,155,14,1,no,4,1
CUST100015,70,39487.52,Web,US,17,155,8,2,No,3,1
CUST100016,53,62043.52,referral,US,32,201,6,1, YES ,2,0
CUST100017,57,41593.28,APP ,Germany,56,340,16,0,yes,2,0
CUST100018,41,77293.6,APP ,UK,24,341,7,2,N,3,1
CUST100019,20,37577.09,web,India,7,,8,2,Y,4,0
CUST100020,39,53592.16,app,Canada,13,153,9,1,No,4,1
CUST100021,70,38269.74,web,Germany,27,363,15,1,Yes,2,0
CUST100022,19,83340.43,APP ,Canada,48,330,13,2, YES ,1,0
CUST100023,41,31432.69,referral,US,5,118,8,1, YES ,2,0
CUST100024,61,57865.44,APP ,India,36,198,11,2,No,3,0
CUST100025,47,38976.34,Web,Canada,26,262,10,2,no,1,1
CUST100026,55,44688.39, Referral,Germany,42,183,13,0,no,1,1
CUST100027,19,56803.07,APP ,India,45,147,10,1,no,,0
CUST100028,77,68368.77,APP ,UK,31,165,4,1,Y,5,1
CUST100029,38,74350.95, Referral,Germany,10,74,12,1, NO ,2,0
CUST100030,50,26945.78,Web,Canada,46,235,12,2, YES ,4,1
CUST100031,29,54016.27,app,India,26,313,11,2,No,2,1
CUST100032,75,71892.4,APP ,Germany,22,271,11,0, NO ,,0
CUST100033,39,123601.68,web,India,12,178,12,2,No,4,0
CUST100034,78,54715.75,APP ,India,32,,16,3, YES ,5,0
CUST100035,61,49968.74,web,India,27,50,8,5,Yes,3,1
CUST100036,42,56218.13,Web,Canada,33,,8,2,yes,2,0
CUST100037,66,38415.44,APP ,Germany,53,143,10,2, NO ,1,1
CUST100038,44,28465.72,Web,US,52,342,8,2,no,3,1
CUST100039,76,106517.02,Web,US,20,187,5,1,yes,3,0
